MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Sorjonen,(2016–2020),"
Crime, Drama, Mystery            ",7.6,"
Quirky police detective, in Finland, delves into his mind palace to solve despicable crimes all the while trying to keep his family together. If Sherlock was based in Finland this would be it.","
            
    Stars:
Ville Virtanen, 
Matleena Kuusniemi, 
Anu Sinisalo, 
Lenita Susi
","8,460",60,
The Professor and the Madman,(2019),"
Biography, Drama            ",7.3,"
Professor James Murray begins work compiling words for the first edition of the Oxford English Dictionary in the mid-19th century, and receives over 10,000 entries from a patient at Broadmoor Criminal Lunatic Asylum, Dr. William Minor.","
    Director:
Farhad Safinia
| 
    Stars:
Mel Gibson, 
Sean Penn, 
Eddie Marsan, 
Natalie Dormer
","39,678",124,
The Gray Man,(2022),"
Action, Thriller            ",,"
In Europe, a CIA operative-turned-assassin looks to evade mysterious forces as he tries to save the lives of the daughters who don't know he exists.","
    Directors:
Anthony Russo, 
Joe Russo
| 
    Stars:
Ana de Armas, 
Chris Evans, 
Ryan Gosling, 
Jessica Henwick
",,,
Dynasty Warriors,(2021),"
Action, Adventure, Fantasy            ",4.8,"
This movie is adapted from a video game of the same title. The story is set in the turbulent late Eastern Han Dynasty. Ambitious Dong Zhuo controls the court and the commonalty, and heroes from all over the country begin to rise.","
    Director:
Roy Hin Yeung Chow
| 
    Stars:
Louis Koo, 
Kai Wang, 
Ray Lui, 
Justin Cheung
","1,437",119,
Hotel Transylvania 3: Summer Vacation,(2018),"
Animation, Adventure, Comedy            ",6.3,"
Count Dracula and company participate in a cruise for sea-loving monsters, unaware that their boat is being commandeered by the monster-hating Van Helsing family.","
    Director:
Genndy Tartakovsky
| 
    Stars:
Adam Sandler, 
Andy Samberg, 
Selena Gomez, 
Kevin James
","62,255",97,$167.51M
Xtremo,(2021),"
Action, Crime, Drama            ",5.8,"
Two years after the murder of his son and father, a retired hitman sets in motion a carefully crafted revenge plan against the killer: his own brother.","
    Director:
Daniel Benmayor
| 
    Stars:
Teo García, 
Óscar Jaenada, 
Óscar Casas, 
Andrea Duro
","3,221",111,
Formula 1: Drive to Survive,(2019– ),"
Documentary, Sport            ",8.6,"
Docuseries following the FIA Formula One World Championship across multiple seasons.","
            
    Stars:
Valtteri Bottas, 
Will Buxton, 
Pierre Gasly, 
Lewis Hamilton
","26,266",40,
Triple 9,(2016),"
Action, Crime, Thriller            ",6.3,"
A gang of criminals and corrupt cops plan the murder of a police officer in order to pull off their biggest heist yet across town.","
    Director:
John Hillcoat
| 
    Stars:
Casey Affleck, 
Chiwetel Ejiofor, 
Anthony Mackie, 
Aaron Paul
","69,234",115,$12.63M
Blue Mountain State,(2010–2011),"
Comedy, Sport            ",8.3,"
Three incoming freshmen attending Midwestern college football powerhouse Blue Mountain State must quickly adapt to college life and juggle football, girls, classes and nonstop hazing.","
            
    Stars:
Darin Brooks, 
Alan Ritchson, 
Chris Romano, 
Ed Marinaro
","49,898",22,
Dokutaa Sutoon,(2019– ),"
Animation, Action, Adventure            ",8.2,"
Awakened into a world where humanity has been petrified, scientific genius Senku and his brawny friend Taiju use their skills to rebuild civilization.","
            
    Stars:
Yûsuke Kobayashi, 
Manami Numakura, 
Gen Satô, 
Ayumu Murase
","13,258",23,
Knightfall,(2017–2019),"
Action, Adventure, Drama            ",6.8,"
A look at the final days of the Knights Templar during the 14th century.","
            
    Stars:
Tom Cullen, 
Pádraic Delaney, 
Simon Merrells, 
Julian Ovenden
","17,970",60,
Okja,(2017),"
Action, Adventure, Drama            ",7.3,"
A young girl risks everything to prevent a powerful, multinational company from kidnapping her best friend - a fascinating beast named Okja.","
    Director:
Bong Joon Ho
| 
    Stars:
Tilda Swinton, 
Paul Dano, 
Seo-hyun Ahn, 
Jake Gyllenhaal
","111,004",120,
On My Block,(2018– ),"
Comedy, Drama            ",8.0,"
A coming-of-age story about four bright, street-savvy friends navigating their way through high school in the gritty inner city of South Central Los Angeles. Dealing with the danger of getting their friend out of a gang and friends turning into romance, danger is constant.","
            
    Stars:
Sierra Capri, 
Jason Genao, 
Brett Gray, 
Diego Tinoco
","12,097",30,
Ófærð,(2015– ),"
Crime, Drama, Mystery            ",8.1,"
In a remote town in Iceland, Police desperately try to solve a crime as a powerful storm descends upon the town.","
            
    Stars:
Ólafur Darri Ólafsson, 
Ilmur Kristjánsdóttir, 
Ingvar Sigurdsson, 
Elva María Birgisdóttir
","17,309",60,
Easy Rider,(1969),"
Adventure, Drama            ",7.3,"
Two bikers head from L.A. to New Orleans through the open country and desert lands, and along the way they meet a man who bridges a counter-culture gap of which they had been unaware.","
    Director:
Dennis Hopper
| 
    Stars:
Peter Fonda, 
Dennis Hopper, 
Jack Nicholson, 
Antonio Mendoza
","104,511",95,$41.73M
Roman Empire,(2016– ),"
Documentary, Biography, Drama            ",7.0,"
Chronicles some of the most famous leaders of the Roman Civilization.","
            
    Stars:
Aaron Irvin, 
Corey Brennan, 
Jerry Toner, 
Steve West
","6,536",48,
Hollywood,(2020),"
Drama            ",7.5,"
A group of aspiring actors and filmmakers in post-World War II Hollywood try to make it big - no matter the cost.","
            
    Stars:
David Corenswet, 
Darren Criss, 
Laura Harrier, 
Joe Mantello
","32,278",347,
A Walk to Remember,(2002),"
Drama, Romance            ",7.3,"
The story of two North Carolina teens, Landon Carter and Jamie Sullivan, who are thrown together after Landon gets into trouble and is made to do community service.","
    Director:
Adam Shankman
| 
    Stars:
Mandy Moore, 
Shane West, 
Peter Coyote, 
Daryl Hannah
","203,383",101,$41.23M
The Chair,(2021– ),"
Comedy, Drama            ",,"
At a major university, the first woman of color to become chair tries to meet the dizzying demands and high expectations of a failing English department.","
            
    Stars:
Bob Balaban, 
Everly Carganilla, 
Ron Crawford, 
Marcia DeBonis
",,30,
Moxie,(2021),"
Comedy, Drama, Music            ",6.7,"
Inspired by her mom's rebellious past and a confident new friend, a shy 16-year-old publishes an anonymous zine calling out sexism at her school.","
    Director:
Amy Poehler
| 
    Stars:
Hadley Robinson, 
Lauren Tsai, 
Alycia Pascual-Pena, 
Nico Hiraga
","20,638",111,
Torchwood,(2006–2011),"
Action, Drama, Mystery            ",7.7,"
The members of the Torchwood Institute, a secret organization founded by the British Crown, fight to protect the Earth from extraterrestrial and supernatural threats.","
            
    Stars:
John Barrowman, 
Eve Myles, 
Kai Owen, 
Gareth David-Lloyd
","39,266",50,
To All the Boys I've Loved Before,(2018),"
Comedy, Drama, Romance            ",7.1,"
A teenage girl's secret love letters are exposed and wreak havoc on her love life.","
    Director:
Susan Johnson
| 
    Stars:
Lana Condor, 
Noah Centineo, 
Janel Parrish, 
Anna Cathcart
","94,786",99,
The Silence,(II) (2019),"
Drama, Horror, Sci-Fi            ",5.3,"
When the world is under attack from terrifying creatures who hunt their human prey by sound, 16-year old Ally Andrews (Kiernan Shipka), who lost her hearing at 13, and her family seek refuge in a remote haven.","
    Director:
John R. Leonetti
| 
    Stars:
Stanley Tucci, 
Kiernan Shipka, 
Miranda Otto, 
Kate Trotter
","40,712",90,
Jurassic World: Camp Cretaceous,(2020– ),"
Animation, Action, Adventure            ",7.5,"
Six teens attending an adventure camp on the opposite side of Isla Nublar must band together to survive when dinosaurs wreak havoc on the island.","
            
    Stars:
Paul-Mikél Williams, 
Kausar Mohammed, 
Jenna Ortega, 
Ryan Potter
","5,414",24,
Lilo & Stitch,(2002),"
Animation, Adventure, Comedy            ",7.3,"
A young and parentless girl adopts a 'dog' from the local pound, completely unaware that it's supposedly a dangerous scientific experiment that's taken refuge on Earth and is now hiding from its creator and those who see it as a menace.","
    Directors:
Dean DeBlois, 
Chris Sanders
| 
    Stars:
Daveigh Chase, 
Chris Sanders, 
Tia Carrere, 
David Ogden Stiers
","175,052",85,$145.79M
Gypsy,(2017),"
Drama, Thriller            ",6.8,"
Therapist Jean Holloway becomes too immersed in the lives of her patients.","
            
    Stars:
Naomi Watts, 
Billy Crudup, 
Sophie Cookson, 
Karl Glusman
","14,978",51,
Zone Blanche,(2017– ),"
Crime, Drama, Horror            ",7.5,"
A police chief and an eccentric new prosecutor investigate a string of grisly crimes and eerie phenomena in an isolated town at the edge of a forest.","
            
    Stars:
Suliane Brahim, 
Hubert Delattre, 
Laurent Capelluto, 
Samuel Jouy
","8,771",52,
Apostle,(2018),"
Drama, Fantasy, Horror            ",6.3,"
In 1905, a drifter on a dangerous mission to rescue his kidnapped sister tangles with a sinister religious cult on an isolated island.","
    Director:
Gareth Evans
| 
    Stars:
Dan Stevens, 
Richard Elfyn, 
Paul Higgins, 
Bill Milner
","46,866",130,
Breakfast at Tiffany's,(1961),"
Comedy, Drama, Romance            ",7.6,"
A young New York socialite becomes interested in a young man who has moved into her apartment building, but her past threatens to get in the way.","
    Director:
Blake Edwards
| 
    Stars:
Audrey Hepburn, 
George Peppard, 
Patricia Neal, 
Buddy Ebsen
","171,297",115,
Operation Finale,(2018),"
Biography, Drama, History            ",6.6,"
A team of secret agents set out to track down the Nazi officer who masterminded the Holocaust.","
    Director:
Chris Weitz
| 
    Stars:
Oscar Isaac, 
Ben Kingsley, 
Mélanie Laurent, 
Lior Raz
","36,593",122,$17.61M
Le Guide de la famille parfaite,(2021),"
Comedy, Drama            ",6.4,"
A couple in Québec deals with the pitfalls, pressure and high expectations of raising kids in a society obsessed with success and social media image.","
    Director:
Ricardo Trogi
| 
    Stars:
Fayçal Azzouz, 
Bianca Bellange, 
Emilie Bierre, 
Jean-Carl Boucher
",611,102,
Locke,(2013),"
Drama            ",7.1,"
Ivan Locke, a dedicated family man and successful construction manager, receives a phone call on the eve of the biggest challenge of his career that sets in motion a series of events that threaten his carefully cultivated existence.","
    Director:
Steven Knight
| 
    Stars:
Tom Hardy, 
Olivia Colman, 
Ruth Wilson, 
Andrew Scott
","140,930",85,$1.36M
A Cinderella Story,(2004),"
Comedy, Family, Romance            ",5.9,"
Routinely exploited by her wicked stepmother, the downtrodden Samantha Montgomery is excited about the prospect of meeting her Internet beau at the school's Halloween dance.","
    Director:
Mark Rosman
| 
    Stars:
Hilary Duff, 
Chad Michael Murray, 
Jennifer Coolidge, 
Dan Byrd
","82,876",95,$51.44M
Glitch,(2015–2019),"
Drama, Horror, Sci-Fi            ",7.3,"
Six people return from the dead with no memory and attempt to unveil what brought them to the grave in the first place.","
            
    Stars:
Patrick Brammall, 
Emma Booth, 
Sean Keenan, 
Hannah Monson
","15,882",45,
To Kill a Mockingbird,(1962),"
Crime, Drama            ",8.3,"
Atticus Finch, a lawyer in the Depression-era South, defends a black man against an undeserved rape charge, and his children against prejudice.","
    Director:
Robert Mulligan
| 
    Stars:
Gregory Peck, 
John Megna, 
Frank Overton, 
Rosemary Murphy
","301,591",129,
Escape Plan,(2013),"
Action, Thriller            ",6.7,"
When a structural-security authority finds himself set up and incarcerated in the world's most secret and secure prison, he has to use his skills to escape with help from the inside.","
    Director:
Mikael Håfström
| 
    Stars:
Sylvester Stallone, 
Arnold Schwarzenegger, 
50 Cent, 
Vincent D'Onofrio
","233,030",115,$25.13M
Alias Grace,(2017),"
Biography, Crime, Drama            ",7.7,"
In 19th-century Canada, a psychiatrist weighs whether a murderess should be pardoned due to insanity.","
            
    Stars:
Sarah Gadon, 
Edward Holcroft, 
Rebecca Liddiard, 
Zachary Levi
","28,424",267,
Algoissjiman,(2021– ),"
Drama, Romance            ",7.7,"
The intoxicating charm of a flirtatious art school classmate pulls a reluctant love cynic into a friends-with-benefits relationship.","
            
    Stars:
So-hee Han, 
Song Kang, 
Han Eu-Ddeum, 
Lee Ho-jung
",472,70,
Hachi: A Dog's Tale,(2009),"
Biography, Drama, Family            ",8.1,"
A college professor bonds with an abandoned dog he takes into his home.","
    Director:
Lasse Hallström
| 
    Stars:
Richard Gere, 
Joan Allen, 
Cary-Hiroyuki Tagawa, 
Sarah Roemer
","263,445",93,
Bad Trip,(2021),"
Comedy            ",6.6,"
This mix of a scripted buddy comedy road movie and a real hidden camera prank show follows the outrageous misadventures of two buds stuck in a rut who embark on a cross-country road trip to NYC. The storyline sets up shocking real pranks.","
    Director:
Kitao Sakurai
| 
    Stars:
Eric André, 
Michaela Conlin, 
Lil Rel Howery, 
Tiffany Haddish
","19,931",86,
Sacred Games,(2018–2019),"
Action, Crime, Drama            ",8.6,"
A link in their pasts leads an honest cop to a fugitive gang boss, whose cryptic warning spurs the officer on a quest to save Mumbai from cataclysm.","
            
    Stars:
Saif Ali Khan, 
Nawazuddin Siddiqui, 
Neeraj Kabi, 
Elnaaz Norouzi
","80,715",50,
Happy!,(2017–2019),"
Action, Comedy, Crime            ",8.2,"
An injured hitman befriends his kidnapped daughter's imaginary friend - a perky blue flying unicorn.","
            
    Stars:
Christopher Meloni, 
Ritchie Coster, 
Lili Mirojnick, 
Patton Oswalt
","35,020",60,
Gi-eok-ui bam,(2017),"
Horror, Mystery, Thriller            ",7.5,"
When his abducted brother returns seemingly a different man with no memory of the past 19 days, Jin-seok chases after the truth behind the kidnapping.","
    Director:
Hang-jun Jang
| 
    Stars:
Kang Ha-Neul, 
Yeon Je Hyung, 
Mu-Yeol Kim, 
Na-ra Lee
","24,377",108,
Generazione 56K,(2021– ),"
Comedy, Drama, Romance            ",7.4,"
Told from two points of view, a couple begins dating during the era of the 56K modem and navigates their relationship over the next two decades.","
            
    Stars:
Cristina Cappelli, 
Azzurra Iacone, 
Angelo Spagnoletti, 
Alfredo Cerrone
","1,200",30,
Geçen Yaz,(2021),"
Drama, Romance            ",6.4,"
During summer vacation in a beachside town, 16-year-old Deniz seeks the affection of his childhood crush and navigates a love triangle.","
    Director:
Ozan Açiktan
| 
    Stars:
Fatih Berk Sahin, 
Ece Çesmioglu, 
Halit Özgür Sari, 
Aslihan Malbora
","1,663",101,
Staged,(2020–2021),"
Comedy, Drama            ",8.6,"
David Tennant and Michael Sheen star as two actors whose West End play has been put on hold due to Covid-19, but whose director has persuaded them to carry on rehearsing online.","
            
    Stars:
Michael Sheen, 
David Tennant, 
Georgia Tennant, 
Anna Lundberg
","5,037",22,
Life of Brian,(1979),"
Comedy            ",8.1,"
Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.","
    Director:
Terry Jones
| 
    Stars:
Graham Chapman, 
John Cleese, 
Michael Palin, 
Terry Gilliam
","378,134",94,$20.05M
Control Z,(2020– ),"
Drama, Thriller            ",6.9,"
When a hacker begins releasing students' secrets to the entire high school, the socially isolated but observant Sofía works to uncover his/her identity.","
            
    Stars:
Ana Valeria Becerril, 
Michael Ronda, 
Yankel Stevan, 
Zión Moreno
","5,710",37,
Icarus,(2017),"
Documentary, Sport            ",7.9,"
When Bryan sets out to uncover the truth about doping in sports, a chance meeting with a Russian scientist transforms his story from a personal experiment into a geopolitical thriller.","
    Director:
Bryan Fogel
| 
    Stars:
Bryan Fogel, 
Dave Zabriskie, 
Don Catlin, 
Grigory Rodchenkov
","43,265",120,
Blonde,(II) (2022),"
Biography, Drama, Romance            ",,"
A fictionalized chronicle of the inner life of Marilyn Monroe.","
    Director:
Andrew Dominik
| 
    Stars:
Ana de Armas, 
Bobby Cannavale, 
Julianne Nicholson, 
Adrien Brody
",,,
Trinkets,(2019–2020),"
Comedy, Crime, Drama            ",7.1,"
An unexpected friendship forms when three teenage girls meet in Shoplifters Anonymous.","
            
    Stars:
Brianna Hildebrand, 
Kiana Madeira, 
Quintessa Swindell, 
Odiseas Georgiadis
","8,312",30,
Criminal: UK,(2019– ),"
Crime, Drama, Thriller            ",7.6,"
A cat-and-mouse drama, which focuses on the intense mental conflict between detectives and suspects. The stories take place within the confines of a police interview suite.","
            
    Stars:
Katherine Kelly, 
Lee Ingleby, 
Rochenda Sandall, 
Shubham Saraf
","15,941",43,
Colombiana,(2011),"
Action, Drama, Thriller            ",6.4,"
A young girl in Bogotá witnesses her parents' murder and grows up to be a stone-cold assassin.","
    Director:
Olivier Megaton
| 
    Stars:
Zoe Saldana, 
Michael Vartan, 
Callum Blue, 
Jordi Mollà
","97,146",108,$36.67M
Resident Evil: The Final Chapter,(2016),"
Action, Horror, Sci-Fi            ",5.5,"
Alice returns to where the nightmare began: The Hive in Raccoon City, where the Umbrella Corporation is gathering its forces for a final strike against the only remaining survivors of the apocalypse.","
    Director:
Paul W.S. Anderson
| 
    Stars:
Milla Jovovich, 
Iain Glen, 
Ali Larter, 
Shawn Roberts
","87,437",107,$26.83M
The Whole Truth,(2016),"
Crime, Drama, Mystery            ",6.2,"
A defense attorney works to get his teenage client acquitted of murdering his wealthy father.","
    Director:
Courtney Hunt
| 
    Stars:
Keanu Reeves, 
Renée Zellweger, 
Gugu Mbatha-Raw, 
Gabriel Basso
","26,541",93,
Death Note,(I) (2017),"
Action, Crime, Drama            ",4.4,"
A high school student named Light Turner discovers a mysterious notebook that has the power to kill anyone whose name is written within its pages, and launches a secret crusade to rid the world of criminals.","
    Director:
Adam Wingard
| 
    Stars:
Nat Wolff, 
LaKeith Stanfield, 
Margaret Qualley, 
Shea Whigham
","79,452",101,
Shigatsu wa kimi no uso,(2014–2015),"
Animation, Drama, Music            ",8.6,"
A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.","
            
    Stars:
Natsuki Hanae, 
Risa Taneda, 
Ayane Sakura, 
Ryôta Ôsaka
","21,095",23,
Collateral,(2018),"
Crime, Drama, Mystery            ",6.8,"
London detectives investigating the seemingly random murder of a pizza delivery man uncover a convoluted case of interlocking circumstances amid a cross-section of British society.","
            
    Stars:
Carey Mulligan, 
Nathaniel Martello-White, 
Hayley Squires, 
Vineeta Rishi
","15,562",230,
Hannah Montana,(2006–2011),"
Comedy, Family, Music            ",5.2,"
Adventures of a teenage pop star who keeps her identity secret from even her closest friends by using a disguise on-stage.","
            
    Stars:
Miley Cyrus, 
Emily Osment, 
Jason Earles, 
Billy Ray Cyrus
","38,015",23,
One Day at a Time,(2017–2020),"
Comedy, Drama            ",8.2,"
Follows three generations of the same Cuban-American family living in the same house: a newly divorced former military mother, her teenage daughter and tween son, and her old-school mother.","
            
    Stars:
Justina Machado, 
Todd Grinnell, 
Isabella Gomez, 
Marcel Ruiz
","14,209",30,
Easy,(2016– ),"
Comedy            ",6.9,"
Intertwined groups of friends in Chicago fumble through the modern maze of love, sex, technology and culture.","
            
    Stars:
Michael Chernus, 
Jane Adams, 
Elizabeth Reaser, 
Jacqueline Toboni
","12,779",30,
Wizards,(2020),"
Animation, Action, Adventure            ",8.2,"
The third installment of DreamWork's 'Tales of Arcadia' trilogy. The gang ends up in the past and must make sure that everything happens the way it should.","
            
    Stars:
Colin O'Donoghue, 
David Bradley, 
James Faulkner, 
Emile Hirsch
","2,795",233,
The Poison Rose,(2019),"
Thriller            ",4.7,"
Inspired by classic film noir, Carson Phillips, an ex-football star turned PI, has a soft spot for a lady in distress.","
    Directors:
Francesco Cinquemani, 
George Gallo
| 
    Stars:
John Travolta, 
Morgan Freeman, 
Brendan Fraser, 
Famke Janssen
","7,413",98,
I Am Mother,(2019),"
Drama, Mystery, Sci-Fi            ",6.7,"
In the wake of humanity's extinction, a teenage girl is raised by a robot designed to repopulate the earth. But their unique bond is threatened when an inexplicable stranger arrives with alarming news.","
    Director:
Grant Sputore
| 
    Stars:
Luke Hawker, 
Rose Byrne, 
Maddie Lenton, 
Hazel Sandery
","81,421",113,
Man Like Mobeen,(2017– ),"
Comedy            ",8.0,"
Mobeen is a 28 year old Brummie Muslim single handedly raising his 15 year old sister. This show documents the struggles of his criminal past, the friendships he has and the controversies he faces as a Pakistani Muslim.","
            
    Stars:
Guz Khan, 
Tez Ilyas, 
Dúaa Karim, 
Tolu Ogunmefun
","1,996",21,
Shtisel,(2013– ),"
Drama            ",8.6,"
The life of the Shtisel family, a haredi family in Jerusalem.","
            
    Stars:
Doval'e Glickman, 
Michael Aloni, 
Neta Riskin, 
Shira Haas
","5,881",45,
My Octopus Teacher,(2020),"
Documentary            ",8.1,"
A filmmaker forges an unusual friendship with an octopus living in a South African kelp forest, learning as the animal shares the mysteries of her world.","
    Directors:
Pippa Ehrlich, 
James Reed
| 
    Stars:
Craig Foster, 
Tom Foster
","42,025",85,
Dirty Grandpa,(2016),"
Comedy            ",5.9,"
Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant Colonel, to Florida for Spring Break.","
    Director:
Dan Mazer
| 
    Stars:
Robert De Niro, 
Zac Efron, 
Zoey Deutch, 
Aubrey Plaza
","117,026",102,$35.59M
The Dragon Prince,(2018– ),"
Animation, Adventure, Drama            ",8.4,"
Two human princes forge an unlikely bond with the elfin assassin sent to kill them, embarking on an epic quest to bring peace to their warring lands.","
            
    Stars:
Paula Burrows, 
Jack De Sena, 
Sasha Rojen, 
Jason Simpson
","18,512",26,
Late Night,(2019),"
Comedy, Drama            ",6.5,"
A late night talk show host suspects that she may soon lose her long-running show.","
    Director:
Nisha Ganatra
| 
    Stars:
Emma Thompson, 
Mindy Kaling, 
John Lithgow, 
Hugh Dancy
","33,065",102,$15.50M
The Dark Crystal: Age of Resistance,(2019),"
Adventure, Drama, Family            ",8.4,"
Return to the world of Thra, where three Gelfling discover the horrifying secret behind the Skeksis' power, and set out to ignite the fires of rebellion and save their world.","
            
    Stars:
Neil Sterenberg, 
Beccy Henderson, 
Nathalie Emmanuel, 
Taron Egerton
","22,469",60,
The Ridiculous 6,(2015),"
Action, Adventure, Comedy            ",4.8,"
An outlaw who was raised by Native Americans discovers that he has five half-brothers. Together the men go on a mission to find their wayward, deadbeat dad.","
    Director:
Frank Coraci
| 
    Stars:
Adam Sandler, 
Terry Crews, 
Jorge Garcia, 
Taylor Lautner
","46,072",119,
The Spy,(2019),"
Drama, History            ",7.9,"
Based on the life of the Israeli spy, Eli Cohen.","
            
    Stars:
Sacha Baron Cohen, 
Hadar Ratzon Rotem, 
Yael Eitan, 
Noah Emmerich
","35,965",53,
Tribes of Europa,(2021– ),"
Action, Adventure, Drama            ",6.8,"
2074. In the wake of a mysterious global disaster, war rages between the Tribes that have emerged from the wreckage of Europe. Three siblings from the peaceful Origine tribe are separated and forced to forge their own paths.","
            
    Stars:
Henriette Confurius, 
Emilio Sakraya, 
David Ali Rashed, 
Melika Foroutan
","10,043",,
Deadly Class,(2018–2019),"
Action, Adventure, Comedy            ",7.6,"
A coming-of-age story set against the backdrop of late 1980s counterculture, which follows a disillusioned teen recruited into a storied high school for assassins.","
            
    Stars:
Benedict Wong, 
Benjamin Wadsworth, 
Lana Condor, 
María Gabriela de Faría
","15,025",60,
#Saraitda,(2020),"
Action, Drama, Horror            ",6.3,"
The rapid spread of an unknown infection has left an entire city in ungovernable chaos, but one survivor remains alive in isolation. It is his story.","
    Director:
Il Cho
| 
    Stars:
Yoo Ah-in, 
Park Shin-Hye, 
Jeon Bae-soo, 
Hyun-Wook Lee
","30,530",98,
The Duff,(2015),"
Comedy, Romance            ",6.5,"
A high school senior instigates a social pecking order revolution after finding out that she has been labeled the DUFF - Designated Ugly Fat Friend - by her prettier, more popular counterparts.","
    Director:
Ari Sandel
| 
    Stars:
Mae Whitman, 
Bella Thorne, 
Robbie Amell, 
Allison Janney
","86,929",101,$34.02M
Durante la tormenta,(2018),"
Drama, Fantasy, Mystery            ",7.4,"
Two storms separated by 25 years. A woman murdered. A daughter missed. Only 72 hours to discover the truth.","
    Director:
Oriol Paulo
| 
    Stars:
Adriana Ugarte, 
Chino Darín, 
Javier Gutiérrez, 
Álvaro Morte
","47,502",128,
You're Next,(2011),"
Horror, Thriller            ",6.6,"
When the Davison family comes under attack during their wedding anniversary getaway, the gang of mysterious killers soon learns that one of the victims harbors a secret talent for fighting back.","
    Director:
Adam Wingard
| 
    Stars:
Sharni Vinson, 
Joe Swanberg, 
AJ Bowen, 
Nicholas Tucci
","92,232",95,$18.47M
Borgen,(2010– ),"
Drama            ",8.5,"
A political drama about a prime minister's rise to power, and how power changes a prime minister.","
            
    Stars:
Sidse Babett Knudsen, 
Birgitte Hjort Sørensen, 
Freja Riemann, 
Søren Malling
","21,123",58,
The Lincoln Lawyer,(2011),"
Crime, Drama, Mystery            ",7.3,"
A lawyer defending a wealthy man begins to believe his client is guilty of more than just one crime.","
    Director:
Brad Furman
| 
    Stars:
Matthew McConaughey, 
Marisa Tomei, 
Ryan Phillippe, 
William H. Macy
","222,054",118,$58.01M
Pixels,(2015),"
Action, Comedy, Fantasy            ",5.5,"
When aliens misinterpret video feeds of classic arcade games as a declaration of war, they attack the Earth in the form of the video games.","
    Director:
Chris Columbus
| 
    Stars:
Adam Sandler, 
Kevin James, 
Michelle Monaghan, 
Peter Dinklage
","135,509",105,$78.75M
Lost Girls,(2020),"
Drama, Mystery, Thriller            ",6.1,"
When Mari Gilbert's daughter disappears, police inaction drives her own investigation into the gated Long Island community where Shannan was last seen. Her search brings attention to over a dozen murdered sex workers.","
    Director:
Liz Garbus
| 
    Stars:
Amy Ryan, 
Thomasin McKenzie, 
Gabriel Byrne, 
Lola Kirke
","18,958",95,
The Ten Commandments,(1956),"
Adventure, Drama            ",7.9,"
Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.","
    Director:
Cecil B. DeMille
| 
    Stars:
Charlton Heston, 
Yul Brynner, 
Anne Baxter, 
Edward G. Robinson
","66,532",220,$93.74M
Live by Night,(2016),"
Action, Crime, Drama            ",6.4,"
A group of Boston-bred gangsters set up shop in balmy Florida during the Prohibition era, facing off against the competition and the Ku Klux Klan.","
    Director:
Ben Affleck
| 
    Stars:
Ben Affleck, 
Elle Fanning, 
Brendan Gleeson, 
Chris Messina
","54,010",129,$10.38M
Sabotage,(2014),"
Action, Crime, Drama            ",5.7,"
Members of an elite DEA task force find themselves being taken down one by one after they rob a drug cartel safe house.","
    Director:
David Ayer
| 
    Stars:
Arnold Schwarzenegger, 
Sam Worthington, 
Terrence Howard, 
Olivia Williams
","61,545",109,$10.51M
Despicable Me 2,(2013),"
Animation, Adventure, Comedy            ",7.3,"
When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.","
    Directors:
Pierre Coffin, 
Chris Renaud
| 
    Stars:
Steve Carell, 
Kristen Wiig, 
Benjamin Bratt, 
Miranda Cosgrove
","377,936",98,$368.06M
Extinction,(2018),"
Action, Drama, Sci-Fi            ",5.8,"
A father has a recurring dream of losing his family. His nightmare turns into reality when the planet is invaded by a force bent on destruction. Fighting for their lives, he comes to realize an unknown strength to keep them safe from harm.","
    Director:
Ben Young
| 
    Stars:
Michael Peña, 
Lizzy Caplan, 
Amelia Crouch, 
Erica Tremblay
","49,162",95,
Spartacus: Gods of the Arena,(2011),"
Action, Adventure, Biography            ",8.5,"
In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.","
            
    Stars:
John Hannah, 
Manu Bennett, 
Peter Mensah, 
Dustin Clare
","130,057",331,
Oz the Great and Powerful,(2013),"
Adventure, Family, Fantasy            ",6.3,"
A small-time magician is swept away to an enchanted land and is forced into a power struggle between three witches.","
    Director:
Sam Raimi
| 
    Stars:
James Franco, 
Michelle Williams, 
Rachel Weisz, 
Mila Kunis
","201,707",130,$234.91M
Secret City,(2016–2019),"
Mystery, Thriller            ",7.4,"
Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.","
            
    Stars:
Anna Torv, 
Marcus Graham, 
Justin Smith, 
Aleks Mikic
","7,001",49,
